111100001 01111 -225/15  = -15 = Q11111 R0000                                                               |    correct (restoring)
001001101 11011 77/-11 = -7 = Q                                                                             |    correct (restoring)
000010101 10011 21/-3 = -7                                                                                  |    correct (restoring)
100001101 01101 -13/13 = -1                                                                                 |    correct (restoring)
1111111000001 1111111 -4033/-63 =                                                                           |    incorrect (restoring)
0010110110010 1011011 1458/-27 = -54 = 1110110                                                              |    correct (restoring)
1000010111101 1000111 -189/-7 = 27 = 0011011                                                                |    correct (restoring)
1100111100010 1110111 -2530/-55 = 46 = 0101110                                                              |    correct (restoring)
01111111000000001 011111111 65025/255 = 011111111                                                           |    correct (restoring)
10001011110110101 000110011 -6069/51 = 101110111                                                            |    correct (restoring)
00011011111001000 001110111 14280/119 = 01111000                                                            |    correct (restoring)
00000101001001011 101010101 2635/-85 = -31 100011111                                                        |    correct (restoring)
111111111100000000001 11111111111 -1046529/-1023 = 01111111111                                              |    correct (restoring)
100000111000101101100 10000111101 -29036/-61 = 476 = 00111011100                                            |    correct (restoring)
100011100011000111001 00101010101 -116281/341 = -341 = 10101010101                                          |    correct (restoring)
000010101100000010000 00001111000 88080/120 = 734 = 01011011110                                             |    correct (restoring)
0111111111110000000000001 0111111111111 16769025/4095 = 0111111111111                                       |    correct (restoring)
1000111000110111000111001 1010101010101 -1863225/-1365 = 1365 = 010101010101                                |    correct (restoring)
1000000111110001100011001 1000011111111 -254745/-255 = 999 = 0001111100111                                  |    correct (restoring)
1000011100001000100100000 0000011100000 -921888/224 = -4115.57142857 1_1000000010011 R01100000              |    incorrect(restoring)
